Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
Ontario,Guelph,35032,Lloyd Longfield ** Liberal/Libéral,"Guelph, Ont.",Parliamentarian/Parlementaire,29382,42.1,     12587,  18.0
Ontario,Guelph,35032,Ashish Sachan Conservative/Conservateur,"Guelph, Ont.",Toxicologist/Toxicologue,16795,24.1,,
Ontario,Guelph,35032,Aisha Jahangir NDP-New Democratic Party/NPD-Nouveau Parti démocratique,"Guelph, Ont.",Registered Nurse/Infirmière autorisée,14713,21.1,,
Ontario,Guelph,35032,Michelle Bowman Green Party/Parti Vert,"Guelph, Ont.",Aquatic Ecologist/Scientist/Écologiste/scientifique aquatique,5250,7.5,,
Ontario,Guelph,35032,Joshua Leier People's Party - PPC/Parti populaire - PPC,"Guelph, Ont.",Digital Marketer/Spécialiste en commercialisation numérique,3182,4.6,,
Ontario,Guelph,35032,Karen Levenson Animal Protection Party/Parti Protection Animaux,"Guelph, Ont.",Author/Auteure,262,.4,,
Ontario,Guelph,35032,Tristan Dineen Communist/Communiste,"Guelph, Ont.",Student/Étudiant,187,.3,,
