"REF_DATE","GEO","Products and product groups","VALUE"
"2019-10","Winnipeg, Manitoba","Shelter","153.6"
"2019-10","Saskatchewan","Food","153.2"
"2019-10","Saskatchewan","Shelter","171.2"
"2019-10","Regina, Saskatchewan","Shelter","171.9"
"2019-10","Saskatoon, Saskatchewan","Shelter","169.5"
"2019-10","Alberta","Food","150.3"
"2019-10","Alberta","Shelter","173.2"
"2019-10","Edmonton, Alberta","Shelter","175.1"
"2019-10","Calgary, Alberta","Shelter","172.7"
"2019-10","British Columbia","Food","146.5"
"2019-10","British Columbia","Shelter","126.0"
"2019-10","Vancouver, British Columbia","Shelter","132.4"
"2019-10","Victoria, British Columbia","Shelter","120.4"
"2019-10","Whitehorse, Yukon","Food","133.0"
"2019-10","Whitehorse, Yukon","Shelter","163.6"
"2019-10","Yellowknife, Northwest Territories","Food","145.2"
"2019-10","Yellowknife, Northwest Territories","Shelter","161.3"
"2020-03","Canada","Food","152.8"
"2020-03","Canada","Shelter","146.5"
"2020-03","Newfoundland and Labrador","Food","150.8"
"2020-03","Newfoundland and Labrador","Shelter","165.3"
"2020-03","St. John's, Newfoundland and Labrador","Shelter","161.1"
"2020-03","Prince Edward Island","Food","157.7"
"2020-03","Prince Edward Island","Shelter","138.8"
"2020-03","Charlottetown and Summerside, Prince Edward Island","Shelter","135.6"
"2020-03","Nova Scotia","Food","156.2"
"2020-03","Nova Scotia","Shelter","151.4"
"2020-03","Halifax, Nova Scotia","Shelter","145.5"
"2020-03","New Brunswick","Food","158.5"
"2020-03","New Brunswick","Shelter","142.2"
"2020-03","Saint John, New Brunswick","Shelter","145.0"
"2020-03","Quebec","Food","151.6"
"2020-03","Quebec","Shelter","137.9"
"2020-03","Québec, Quebec","Shelter","134.6"
"2020-03","Montréal, Quebec","Shelter","139.0"
"2020-03","Ontario","Food","154.5"
"2020-03","Ontario","Shelter","149.3"
"2020-03","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter","148.5"
"2020-03","Toronto, Ontario","Shelter","151.7"
"2020-03","Thunder Bay, Ontario","Shelter","123.1"
"2020-03","Manitoba","Food","150.0"
"2020-03","Manitoba","Shelter","155.7"
"2020-03","Winnipeg, Manitoba","Shelter","153.8"
"2020-03","Saskatchewan","Food","155.8"
"2020-03","Saskatchewan","Shelter","171.4"
"2020-03","Regina, Saskatchewan","Shelter","170.8"
"2020-03","Saskatoon, Saskatchewan","Shelter","171.9"
"2020-03","Alberta","Food","153.3"
"2020-03","Alberta","Shelter","173.6"
"2020-03","Edmonton, Alberta","Shelter","175.1"
"2020-03","Calgary, Alberta","Shelter","172.9"
"2020-03","British Columbia","Food","148.7"
"2020-03","British Columbia","Shelter","127.0"
"2020-03","Vancouver, British Columbia","Shelter","132.7"
"2020-03","Victoria, British Columbia","Shelter","123.4"
"2020-03","Whitehorse, Yukon","Food","135.0"
"2020-03","Whitehorse, Yukon","Shelter","168.5"
"2020-03","Yellowknife, Northwest Territories","Food","148.8"
"2020-03","Yellowknife, Northwest Territories","Shelter","162.7"
"2020-09","Canada","Food","152.6"
"2020-09","Canada","Shelter","147.3"
"2020-09","Newfoundland and Labrador","Food","149.8"
"2020-09","Newfoundland and Labrador","Shelter","165.7"
"2020-09","St. John's, Newfoundland and Labrador","Shelter","162.2"
"2020-09","Prince Edward Island","Food","158.6"
"2020-09","Prince Edward Island","Shelter","137.8"
"2020-09","Charlottetown and Summerside, Prince Edward Island","Shelter","135.3"
"2020-09","Nova Scotia","Food","155.9"
"2020-09","Nova Scotia","Shelter","149.1"
"2020-09","Halifax, Nova Scotia","Shelter","144.5"
"2020-09","New Brunswick","Food","157.4"
"2020-09","New Brunswick","Shelter","142.1"
"2020-09","Saint John, New Brunswick","Shelter","145.8"
"2020-09","Quebec","Food","151.5"
"2020-09","Quebec","Shelter","137.7"
"2020-09","Québec, Quebec","Shelter","135.0"
"2020-09","Montréal, Quebec","Shelter","139.0"
"2020-09","Ontario","Food","154.6"
"2020-09","Ontario","Shelter","150.5"
"2020-09","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter","152.6"
"2020-09","Toronto, Ontario","Shelter","151.9"
"2020-09","Thunder Bay, Ontario","Shelter","123.6"
"2020-09","Manitoba","Food","150.0"
"2020-09","Manitoba","Shelter","155.5"
"2020-09","Winnipeg, Manitoba","Shelter","154.0"
"2020-09","Saskatchewan","Food","153.7"
"2020-09","Saskatchewan","Shelter","172.2"
"2020-09","Regina, Saskatchewan","Shelter","173.2"
"2020-09","Saskatoon, Saskatchewan","Shelter","172.2"
"2020-09","Alberta","Food","152.4"
"2020-09","Alberta","Shelter","175.5"
"2020-09","Edmonton, Alberta","Shelter","176.2"
"2020-09","Calgary, Alberta","Shelter","175.0"
"2020-09","British Columbia","Food","149.0"
"2020-09","British Columbia","Shelter","127.4"
"2020-09","Vancouver, British Columbia","Shelter","133.1"
"2020-09","Victoria, British Columbia","Shelter","125.3"
"2020-09","Whitehorse, Yukon","Food","131.0"
"2020-09","Whitehorse, Yukon","Shelter","167.2"
"2020-09","Yellowknife, Northwest Territories","Food","145.3"
"2020-09","Yellowknife, Northwest Territories","Shelter","159.6"
"2021-03","Canada","Food","155.5"
"2021-03","Canada","Shelter","150.0"
"2021-03","Newfoundland and Labrador","Food","152.3"
"2021-03","Newfoundland and Labrador","Shelter","167.6"
"2021-03","St. John's, Newfoundland and Labrador","Shelter","163.7"
"2021-03","Prince Edward Island","Food","163.3"
"2021-03","Prince Edward Island","Shelter","144.1"
"2021-03","Charlottetown and Summerside, Prince Edward Island","Shelter","140.6"
"2021-03","Nova Scotia","Food","158.9"
"2021-03","Nova Scotia","Shelter","156.0"
"2021-03","Halifax, Nova Scotia","Shelter","151.0"
"2021-03","New Brunswick","Food","161.6"
"2021-03","New Brunswick","Shelter","144.5"
"2021-03","Saint John, New Brunswick","Shelter","147.8"
"2021-03","Quebec","Food","154.3"
"2021-03","Quebec","Shelter","139.3"
"2021-03","Québec, Quebec","Shelter","137.6"
"2021-03","Montréal, Quebec","Shelter","141.5"
"2021-03","Ontario","Food","157.6"
"2021-03","Ontario","Shelter","153.5"
"2021-03","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter","155.2"
"2021-03","Toronto, Ontario","Shelter","154.2"
"2021-03","Thunder Bay, Ontario","Shelter","129.0"
"2021-03","Manitoba","Food","152.9"
"2021-03","Manitoba","Shelter","159.3"
"2021-03","Winnipeg, Manitoba","Shelter","157.6"
"2021-03","Saskatchewan","Food","157.3"
"2021-03","Saskatchewan","Shelter","171.9"
"2021-03","Regina, Saskatchewan","Shelter","170.5"
"2021-03","Saskatoon, Saskatchewan","Shelter","170.7"
"2021-03","Alberta","Food","155.9"
"2021-03","Alberta","Shelter","177.3"
"2021-03","Edmonton, Alberta","Shelter","178.5"
"2021-03","Calgary, Alberta","Shelter","176.0"
"2021-03","British Columbia","Food","151.0"
"2021-03","British Columbia","Shelter","130.6"
"2021-03","Vancouver, British Columbia","Shelter","137.4"
"2021-03","Victoria, British Columbia","Shelter","125.7"
"2021-03","Whitehorse, Yukon","Food","131.1"
"2021-03","Whitehorse, Yukon","Shelter","171.4"
"2021-03","Yellowknife, Northwest Territories","Food","145.5"
"2021-03","Yellowknife, Northwest Territories","Shelter","163.5"
"2021-09","Canada","Food","158.5"
"2021-09","Canada","Shelter","154.4"
"2021-09","Newfoundland and Labrador","Food","155.9"
"2021-09","Newfoundland and Labrador","Shelter","170.4"
"2021-09","St. John's, Newfoundland and Labrador","Shelter","165.4"
"2021-09","Prince Edward Island","Food","166.6"
"2021-09","Prince Edward Island","Shelter","152.6"
"2021-09","Charlottetown and Summerside, Prince Edward Island","Shelter","148.3"
"2021-09","Nova Scotia","Food","162.7"
"2021-09","Nova Scotia","Shelter","158.0"
"2021-09","Halifax, Nova Scotia","Shelter","152.6"
"2021-09","New Brunswick","Food","166.7"
"2021-09","New Brunswick","Shelter","148.7"
"2021-09","Saint John, New Brunswick","Shelter","151.7"
"2021-09","Quebec","Food","157.6"
"2021-09","Quebec","Shelter","143.8"
"2021-09","Québec, Quebec","Shelter","138.7"
"2021-09","Montréal, Quebec","Shelter","148.0"
"2021-09","Ontario","Food","160.3"
"2021-09","Ontario","Shelter","158.4"
"2021-09","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter","164.8"
"2021-09","Toronto, Ontario","Shelter","157.4"
"2021-09","Thunder Bay, Ontario","Shelter","131.7"
"2021-09","Manitoba","Food","154.9"
"2021-09","Manitoba","Shelter","166.9"
"2021-09","Winnipeg, Manitoba","Shelter","164.5"
"2021-09","Saskatchewan","Food","160.6"
"2021-09","Saskatchewan","Shelter","173.8"
"2021-09","Regina, Saskatchewan","Shelter","170.4"
"2021-09","Saskatoon, Saskatchewan","Shelter","174.2"
"2021-09","Alberta","Food","158.7"
"2021-09","Alberta","Shelter","181.8"
"2021-09","Edmonton, Alberta","Shelter","180.7"
"2021-09","Calgary, Alberta","Shelter","182.7"
"2021-09","British Columbia","Food","154.2"
"2021-09","British Columbia","Shelter","134.0"
"2021-09","Vancouver, British Columbia","Shelter","140.1"
"2021-09","Victoria, British Columbia","Shelter","127.7"
"2021-09","Whitehorse, Yukon","Food","135.1"
"2021-09","Whitehorse, Yukon","Shelter","175.2"
"2021-09","Yellowknife, Northwest Territories","Food","149.0"
"2021-09","Yellowknife, Northwest Territories","Shelter","163.7"
